Turkish,English meaning,Categoy,Difficulty
Beklemek,To wait,Actions_Activities,3
Bel,Waist/ lower back,Objects_Things,1
Belediye,Municipality,Objects_Things,4
Belge,Document,Objects_Things,2
Belki,Maybe,Adjectives,2
Belli,Clear/ obvious,Adjectives,2
Benzemek,To look like,Actions_Activities,3
Benzin,Gasoline,Objects_Things,3
Beraber,Together,Adjectives,3
Beş,Five,Numbers,1
Bey,Mr.,Objects_Things,1
Beyaz,White,Adjectives,2
Beyin,Brain,Objects_Things,3
Bez,Cloth (or diaper),Objects_Things,1
Bıçak,Knife,Objects_Things,2
Biçim,Shape,Adjectives,3
Bilet,Ticket,Objects_Things,2
Bilgi,Information,Objects_Things,2
Bilgisayar,Computer,Objects_Things,4
Bilim,Science,Objects_Things,3
Bilmek,To know,Actions_Activities,2
Bin,Thousand,Numbers,2
Bina,Building,Places_Locations,2
Binmek,To ride/ to get on (a bus),Actions_Activities,2
Bir,One,Question_Words,1
Bırakmak,To leave something,Actions_Activities,3
Biraz,A little,Adjectives,2
Birçok,A lot,Adjectives,2
Biri,Someone/ one of them,Question_Words,2
Birinci,First,Adjectives,3
Birisi,Someone,Question_Words,3
Birkaç,A few,Adjectives,2
Birlikte,Together,Adjectives,3
Bitirmek,To finish (something),Actions_Activities,3
Bitki,Plant,Objects_Things,2
Bitmek,To be finished,Actions_Activities,2
Böcek,Bug,Objects_Things,2
Boğaz,Throat,Places_Locations,2
Bölge,Region,Places_Locations,2
Bölmek,To divide,Actions_Activities,2
Bölüm,Division/ chapter,Places_Locations,3
Boru,Pipe,Objects_Things,2
Boş,Empty,Adjectives,1
Boşaltmak,To empty (something),Actions_Activities,3
Boşanmak,To get divorced,Actions_Activities,3
Boy,Size,Objects_Things,1
Boyamak,To paint/ to dye (something),Actions_Activities,3
Boyun,Neck,Objects_Things,3
Bozuk,Broken (stopped working),Adjectives,2
Bozulmak,To be broken (stop working),Actions_Activities,3
Bugün,Today,Time_Calendar,3
Bulmak,To find,Actions_Activities,2
Buluşmak,To meet up with,Actions_Activities,3
Burada,Here/ at/in this place,Places_Locations,3
Burası,This place,Places_Locations,3
Burun,Nose,Objects_Things,3
Bütün,All/ entire,Adjectives,3
Büyük,Big,Adjectives,2
Büyümek,To grow (bigger),Actions_Activities,3
Çabuk,Quick,Adjectives,2
Cadde,Street,Places_Locations,2
Çağırmak,To invite/ to call,Actions_Activities,3
Çalışmak,To work,Actions_Activities,3
Çalmak,To steal/ to play (an instrument),Actions_Activities,2
Cam,Glasses,Objects_Things,2
Çamaşır,Laundry,Objects_Things,3
Cami,Mosque,Places_Locations,2
Can,Life/ soul,Objects_Things,2
Canlı,Alive/ live broadcast,Adjectives,2
Çanta,Bag (backpack/ purse),Objects_Things,2
Çarpmak,To crash,Actions_Activities,2
Çarşamba,Wednesday,Time_Calendar,3
Çatal,Fork,Objects_Things,2
Çay,Tea,Objects_Things,1
Çaydanlık,Teapot,Objects_Things,3
Çekmek,To pull,Actions_Activities,2
Çeşit,Type/ variety,Adjectives,2
Cevap vermek,To answer,Actions_Activities,4
Çevirmek,To flip/ to translate something,Actions_Activities,3
Çevre,Environment,Places_Locations,2
Çeyrek,Quarter (25%),Numbers,2
Ceza,Punishment,Objects_Things,2
Çiçek,Flower,Objects_Things,2
Ciddi,Serious,Adjectives,2
Çift,Double,Numbers,1
Çiftçi,Farmer,Occupations,2
Cihaz,Electronic device,Objects_Things,2
Çıkarmak,To take off/ to remove,Actions_Activities,3
Çıkmak,To leave/ climb,Actions_Activities,2
Çirkin,Ugly,Adjectives,3
Çizgi,Line/ drawing,Objects_Things,2
Çocuk,Child,Family_Relationships,2
Çok,Very/ many,Adjectives,1
Çorap,Sock,Objects_Things,2
Çözmek,To solve/ to untie,Actions_Activities,2
Çözüm,Resolution,Objects_Things,3
Cuma,Friday,Time_Calendar,2
Cumartesi,Saturday,Time_Calendar,4
Cümle,Sentence,Language_Communication,2
Çünkü,Because,Conjunctions,2
Dağ,Mountain,Places_Locations,1
Daha az,Less,Adverbs,3
Daha çok,More,Adverbs,3
Daire,Apartment/ circle,Places_Locations,2
Dakika,Minute,Time_Calendar,3
Damla,Drop (of liquid),Objects_Things,2
Dans etmek,To dance,Actions_Activities,3
Davet etmek,To invite,Actions_Activities,4
Davranış,behavior,Actions_Activities,3
Davranmak,To behave (in a certain way),Actions_Activities,3
Dayanmak,To endure,Actions_Activities,3
Defter,Notebook,Objects_Things,2
Değer,Value,Objects_Things,2
Değil,Not,Conjunctions,2
Değişmek,(For something) to change,Actions_Activities,3
Değiştirmek,To change (something),Actions_Activities,4
Delik,Hole,Objects_Things,2
Demek,To say/ it means...,Language_Communication,2
Denemek,To try,Actions_Activities,3
Denge,Balance,Objects_Things,2
Deniz,Sea,Places_Locations,2
Deprem,Earthquake,Events,3
Derece,Degrees (temperature),Numbers,3
Deri,Skin,Objects_Things,2
Derin,Deep,Adjectives,3
Ders,Class,Education,1
Destek,Support,Actions_Activities,2
Devam etmek,To continue,Actions_Activities,4
Devlet,Government,Objects_Things,2
Diğer,The other (one),Adjectives,2
Dik,Steep,Adjectives,1
Dikkat etmek,To be careful,Actions_Activities,4
Dil,Tongue (or language),Language_Communication,1
Din,Religion,Concepts,2
Dinlemek,To listen,Actions_Activities,3
Dinlenmek,To rest,Actions_Activities,3
Dirilmek,To be resurrected,Actions_Activities,3
Diş,Tooth,Objects_Things,1
Diz,Knee,Body_Parts,1
Doğal,Natural,Adjectives,2
Doğal gaz,Natural Gas,Objects_Things,3
Doğmak,To be born,Actions_Activities,2
Doğru,Right,Adjectives,2
Doğu,East,Places_Locations,2
Doksan,Ninety,Numbers,3
Doktor,Doctor,Occupations,2
Dokuz,Nine,Numbers,2
Dolap,Cabinet,Objects_Things,2
Dolaşmak,To wander,Actions_Activities,3
Doldurmak,To fill,Actions_Activities,3
Dolu,Full,Adjectives,2
Dondurma,Ice cream,Food_Drink,3
Dönem,Period (of time),Time_Calendar,3
Döner,Shaved Meat,Actions_Activities,2
Dönmek,To turn,Actions_Activities,2
Dört,Four,Numbers,1
Dost,Best friend,Family_Relationships,1
Dosya,Folder,Objects_Things,2
Döviz,Foreign currency (esp. Dollars/ Euro),Finance,2
Düğün,Wedding celebration,Events,3
Dükkan,Shop,Places_Locations,3
Duman,Smoke,Objects_Things,3
Dün,Yesterday,Time_Calendar,2
Dünya,Earth/ world,Places_Locations,2
Durmak,To stop,Actions_Activities,2
Durum,Situation,Concepts,3
Dürüm,Sandwich wrap,Food_Drink,3
Duş almak,To take a shower,Actions_Activities,3
Düşmek,To fall,Actions_Activities,2
Düşünce,Thought,Concepts,3
Düşünmek,To think,Actions_Activities,3
Duvar,Wall,Objects_Things,2
Duygu,Emotion/ sense,Feelings_Emotions,2
Duymak,To hear/ to sense,Actions_Activities,2
Düz,Straight,Adjectives,1
Düzeltmek,To correct,Actions_Activities,3
Düzenlemek,To organize,Actions_Activities,4
Eğitim,Education,Education,4
Ek,Addition/ suffix,Language_Communication,1
Ekim,October,Time_Calendar,3
Eklemek,To add (common speech),Actions_Activities,3
Ekmek,Bread,Food_Drink,2
Ekonomi,Economy,Finance,4
Eksik,Missing,Adjectives,2
El,Hand,Body_Parts,1
Elbette,Certainly,Adverbs,3
Eldiven,Glove,Objects_Things,4
Elektrik,Electricity/ electric,Objects_Things,3
Eleman,Worker,Occupations,4
Elli,Fifty,Numbers,2
Elma,Apple,Food_Drink,2
Emekli,Retired,Occupations,3
Emin,Certain,Adjectives,3
Emlakçı,Realtor,Occupations,3
En,Most (or width),Adjectives,2
Enerji,Energy,Objects_Things,3
Enflasyon,Inflation,Finance,4
Engel,Barrier,Actions_Activities,2
Engelli,Disabled,Adjectives,3
Erimek,To melt,Actions_Activities,3
Erkek,Boy (or male),Family_Relationships,2
Erken,Early,Adjectives,3
Eş,Spouse/ companion,Family_Relationships,1
Eşit,Equal,Adjectives,2
Eski,Old,Adjectives,2
Eskiden,In the past,Adverbs,4
Eşya,Furnishings/ stuff,Objects_Things,2
Et,Meat/ flesh,Food_Drink,1
Etki,Effect,Actions_Activities,2
Etkilemek,To affect,Actions_Activities,4
Etmek,To do,Actions_Activities,2
Ev,Home,Places_Locations,1
Ev sahibi,Home owner,Family_Relationships,4
Evet,Yes,Language_Communication,2
Evlenmek,To marry,Family_Relationships,3
Evli,Married,Family_Relationships,2
Eylül,September,Time_Calendar,2
Fabrika,Factory,Places_Locations,3
Fakat,But,Conjunctions,2
Fakir,Poor,Adjectives,2
Falan filan,Etc,Adverbs,5
Fare,Mouse (animal or for computer),Animals,2
Fark,Difference,Concepts,1
Fark etmek,To notice,Actions_Activities,3
Farketmez,It doesn't matter,Adverbs,3
Farklı,Different,Adjectives,2
Fazla,Too much,Adjectives,2
Fikir,Idea,Concepts,2
Film,Movie (film),Entertainment,2
Fincan,(Tea or turkish coffee) cup,Objects_Things,3
Fırsat,Opportunity,Concepts,2
Fiş,Receipt/ electrical plug,Objects_Things,1
Fiyat,Price,Finance,2
Fotoğraf,Photograph,Objects_Things,3
Galiba,Probably,Adverbs,3
Gayet,Really/ quite,Adverbs,2
Gaz,Gas (but not gasoline),Objects_Things,1
Gazete,Newspaper (gazette),Objects_Things,3
Geç,Late,Adjectives,1
Geç kalmak,To be late,Actions_Activities,3
Gece,Night,Time_Calendar,2
Geçen,Last (week/ month/ year)/ one that passes,Adjectives,3
Geçici,Temporary,Adjectives,3
Geçmek,To pass,Actions_Activities,2
Geçmiş,Past,Adjectives,2
Gelecek,Next/ future,Adjectives,3
Gelenek,Tradition,Concepts,3
Gelir,Income,Finance,2
Gelmek,To come,Actions_Activities,2
Genç,Young (person),Adjectives,1
Gene,Again,Adverbs,2
Genel,General,Adjectives,2
Genellikle,Generally,Adverbs,4
Geniş,Wide (or loose fitting),Adjectives,2
Gerçek,True/ truth,Concepts,2
Gerçekten,Really,Adverbs,4
Gerekli,Needed,Adjectives,3
Gerekmek,To be needed,Actions_Activities,3
Geri gelmek,To come back,Actions_Activities,4
Geri vermek,To give back,Actions_Activities,4
Getirmek,To bring,Actions_Activities,3
Gezmek,To explore,Actions_Activities,2
Gibi,Like/ similar to,Conjunctions,2
Gıda,Food (market),Food_Drink,2
Giriş,Entrance,Places_Locations,2
Girmek,To enter,Actions_Activities,2
Gitmek,To go,Actions_Activities,2
Giymek,To put on (clothing),Actions_Activities,2
Giysi,Outfit (clothing),Objects_Things,2
Gizli,Secret (private),Adjectives,2
Göbek,Stomach/ belly/ center,Body_Parts,2
Göçmen,Refugee,People,3
Gök,Sky (or heaven),Objects_Things,1
Göl,Lake,Places_Locations,1
Göndermek,To send,Actions_Activities,3
Gönül,Heart/ soul,Feelings_Emotions,2
Görev,Duty,Actions_Activities,2
Görmek,To see,Actions_Activities,2
Görünmek,To appear,Actions_Activities,3
Görüşmek,To talk with/ to meet with,Actions_Activities,3
Göstermek,To show,Actions_Activities,3
Götürmek,To take something somewhere,Actions_Activities,3
Göz,Eye,Body_Parts,1
Gözlük,Glasses,Objects_Things,2
Gri,Grey,Colors,1
Grip,Flu,Health,1
Grup,Group,People,1
Güç,Strength,Concepts,1
Güçlü,Strong,Adjectives,2
Güle güle,Bye,Language_Communication,4
Gülmek,To laugh (or smile),Actions_Activities,2
Gülümsemek,To smile,Actions_Activities,4
Gümüş,Silver,Objects_Things,2
Gün,Day,Time_Calendar,2
Günah,Sin,Concepts,2
Güneş,Sun,Objects_Things,2
Güney,South,Places_Locations,2
Güven,Trust,Concepts,3
Güvenlik,Security,Concepts,3
Güvenmek,To trust,Concepts,3
Güzel,Good/ pretty,Adjectives,2
Haber,News,Language_Communication,2
Hadi,Hurry/ let's go,Language_Communication,2
Hafif,Light (weight),Adjectives,2
Hafta,Week,Time_Calendar,2
Hafta sonu,Weekend,Time_Calendar,4
Hâkim,Judge,Occupations,2
Haklı,Right (justified in saying something),Adjectives,2
Hal,State/ status,Concepts,1
Hâlâ,Still,Adverbs,1
Halı,Carpet,Objects_Things,2
Halk,People (people group),People,1
Hamburger,Hamburger,Food_Drink,3
Hangi,Which,Question_Words,2
Hanım,Mrs.,Family_Relationships,3
Hapishane,Jail,Places_Locations,4
Harcamak,To spend,Actions_Activities,3
Hareket,Activity,Actions_Activities,3
Harika,Wonderful,Adjectives,3
Harita,Map,Objects_Things,3
Hasta,Sick,Health,2
Hastane,Hospital,Places_Locations,3
Hata,Mistake/ imperfection,Concepts,2
Hatırlamak,To remember,Actions_Activities,4
Hava,Air,Weather,2
Havaalanı,Airport,Places_Locations,4
Havlu,Towel,Objects_Things,2
Havuz,Pool,Objects_Things,2
Hayal etmek,To dream/ imagine,Actions_Activities,4
Hayat,Life,Concepts,2
Hayır,No,Language_Communication,2
Hayvan,Animal,Animals,3
Hayvanat bahçesi,Zoo,Places_Locations,6
Hazır,Ready,Adjectives,2
Haziran,June,Time_Calendar,4
Hedef,Target/ goal,Concepts,2
Hediye,Gift,Objects_Things,3
Hemen,Right now,Adverbs,3
Henüz,Not yet,Adverbs,2
Hep,All,Adverbs,1
Hepsi,All (of a group),Adverbs,2
Her,Every,Adverbs,1
Her gün,Every day,Time_Calendar,3
Her şey,Everything,Adverbs,2
Her zaman,All the time,Adverbs,4
Herhalde,Probably,Adverbs,3
Herhangi,Whichever,Adverbs,3
Herkes,Everyone,People,2
Hesap,Account,Concepts,2
Hesap makinası,Calculator,Objects_Things,6
Heyecanlanmak,To be excited,Feelings_Emotions,5
Heyecanlı,Excited,Adjectives,4
Hiçbir,None,Adverbs,2
Hikâye,Story,Language_Communication,2
Hırdavatçı,Hardware store,Occupations,4
Hissetmek,To feel (emotion),Feelings_Emotions,3
Hızlı,Fast,Adjectives,2
Hizmet etmek,To serve,Actions_Activities,4
Hoca,Teacher,Occupations,2
Hoş,Nice,Adjectives,1
İbadet,Worship,Actions_Activities,3
İçecek,Drink,Food_Drink,3
İçmek,To drink,Actions_Activities,2
İğne,Needle (or syringe),Objects_Things,2
İhtiyaç,Need (basic need),Concepts,3
İki,Two,Numbers,2
İkram etmek,To treat/ to give something for free,Actions_Activities,4
İl,Province,Places_Locations,1
İlaç,Medicine,Objects_Things,2
İlçe,District (section of a province),Places_Locations,2
İlgi,Interest,Concepts,2
İlginç,Interesting (or strange),Adjectives,2
İlişki,Relationship,Concepts,3
İlk,First,Adjectives,1
İlkbahar,Spring,Time_Calendar,3
İmkânsiz,Impossible,Adjectives,2
İmza,Signature,Objects_Things,2
İnanç,Faith,Concepts,2
İnanmak,To believe,Concepts,3
İnce,Thin,Adjectives,2
İndirim,Discount,Finance,4
İnek,Cow,Animals,2
İngilizce,English (language),Language_Communication,4
İnmek,To get off,Actions_Activities,2
İnşaat,Construction,Places_Locations,2
İnsan,Person,People,3
İnternet,Internet,Objects_Things,3
İp,Thread,Objects_Things,1
İptal etmek,To cancel,Actions_Activities,4
İş,Work (profession),Occupations,1
İşçi,Worker,Occupations,2
Işık,Light,Objects_Things,2
İsim,Name,Language_Communication,3
Islak,Wet,Adjectives,2
İşlem,Process,Actions_Activities,3
İstemek,To want,Actions_Activities,3
İyi,Good,Adjectives,2
İzin,Permission/ permit,Concepts,3
İzin vermek,To give permission,Actions_Activities,4
İzlemek,To watch/ to follow,Actions_Activities,3
Kaba,Rude,Adjectives,2
Kablo,Cable,Objects_Things,2
Kabul etmek,To accept,Actions_Activities,4
Kaç,How many,Adverbs,1
Kaçmak,To escape,Actions_Activities,2
Kadar,Quantity,Adverbs,2
Kadın,Woman,People,3
Kafa,Head,Body_Parts,2
Kâğıt,Paper,Objects_Things,1
Kahraman,Hero,People,4
Kahvaltı,Breakfast,Food_Drink,3
Kahve,Coffee,Food_Drink,2
Kahverengi,Brown,Colors,4
Kalabalık,Crowded (or crowd),Adjectives,4
Kaldırmak,To remove,Actions_Activities,3
Kalem,Pen (or other writing utensil),Objects_Things,3
Kalıcı,Permanent,Adjectives,3
Kalın,Thick,Adjectives,3
Kalite,Quality,Concepts,3
Kalkmak,To rise,Actions_Activities,2
Kalmak,To stay,Actions_Activities,2
Kâlp,Heart,Body_Parts,1
Kan,Blood,Body_Parts,2
Kanal,Canal/ channel,Objects_Things,2
Kanepe,Couch,Objects_Things,3
Kanun,Law,Concepts,3
Kapak,Cover,Objects_Things,2
Kapatmak,To close (something),Actions_Activities,3
Kapı,Door,Objects_Things,2
Karanlık,Darkness,Adjectives,3
Karar vermek,To decide,Actions_Activities,4
Kardeş,Sibling,Family_Relationships,2
Karı,Wife,Family_Relationships,2
Karın,Stomach,Body_Parts,3
Karıştırmak,To mix,Actions_Activities,4
Karşı,Opposite side/ against,Adverbs,2
Kart,Card,Objects_Things,1
Kasa,Checkout,Objects_Things,2
Kasaba,Town,Places_Locations,3
Kaşık,Spoon,Objects_Things,2
Kasım,November,Time_Calendar,3
Kat,Floor (layer),Places_Locations,1
Katılmak,To join/ to agree,Actions_Activities,3
Kavşak,Roundabout,Places_Locations,2
Kaya,Boulder,Places_Locations,2
Kaybetmek,To lose,Actions_Activities,3
Kayıt,Record,Objects_Things,2
Kaymak,To slide/ skate (or whipped cream),Food_Drink,2
Kaynak,Source,Objects_Things,2
Kaza,Crash/ accident,Events,2
Kazanmak,To win,Actions_Activities,3
Kebab,Kabob,Food_Drink,2
Keçi,Goat,Animals,2
Kedi,Cat,Animals,2
Kelime,Word,Language_Communication,3
Kenar,Edge,Places_Locations,2
Kent,City,Places_Locations,1
Kesilmek,To be cut/ to be turned off,Actions_Activities,3
Kesin,Certain,Adjectives,3
Kesinlikle,Certainly,Adverbs,4
Kesmek,To cut,Actions_Activities,2
Kibar,Polite,Adjectives,2
Kılıç,Sword,Objects_Things,2
Kilim,Carpet/ floor mat,Objects_Things,3
Kilitlemek,To lock,Actions_Activities,4
Kılmak,To do/ to make/ to perform,Actions_Activities,2
Kilo,Kilogram,Measurement,2
Kilometre,Kilometer,Measurement,4
Kim,Who,Question_Words,2
Kimlik,Identity,Objects_Things,2
Kırk,Forty,Numbers,1
Kirli,Dirty,Adjectives,2
Kırmızı,Red,Colors,3
Kış,Winter,Time_Calendar,1
Kısa,Short,Adjectives,2
Kişi,Person,People,2
Kısım,Part,Concepts,3
Kitap,Book,Objects_Things,2
Kız,Girl,People,1
Kız çocuk,Girl/ daughter,People,3
Kız kardeş,Sister,Family_Relationships,3
Kızarmak,To fry/ to turn red,Actions_Activities,3
Kızgın,Angry/ hot,Adjectives,3
Koca,Husband (or huge),People,2
Koku,Smell,Perception,2
Kol,Arm,Body_Parts,1
Kol saati,Wrist watch,Objects_Things,3
Kolay,Easy,Adjectives,2
Koltuk,Couch (or armchair),Objects_Things,2
Kombi,Natural gas water heater,Objects_Things,2
Komik,Funny,Adjectives,2
Kontrol etmek,To check,Actions_Activities,4
Konu,Topic,Language_Communication,2
Konuşmak,To talk,Actions_Activities,3
Köpek,Dog,Animals,2
Kör,Blind,Adjectives,1
Köri,Curry,Food_Drink,2
Koridor,Aisle,Places_Locations,3
Korkmak,To be afraid,Feelings_Emotions,2
Korumak,To protect,Actions_Activities,3
Köşe,Corner,Places_Locations,2
Koşmak,To run,Actions_Activities,2
Kötü,Bad,Adjectives,2
Kötülük,Evil,Concepts,3
Köy,Village,Places_Locations,1
Koymak,To put,Actions_Activities,2
Koyu,Dark/ intense,Colors,2
Koyun,Sheep,Animals,3
Kral,King,People,1
Kredi,Credit (loan),Finance,2
Kriz,Crisis,Concepts,1
Küçük,Small,Adjectives,2
Kulak,Ear,Body_Parts,2
Kullanmak,To use,Actions_Activities,3
Kültür,Culture,Concepts,2
Kum,Sand,Objects_Things,2
Kumanda,Remote control,Objects_Things,3
Kurabiye,Cookie,Food_Drink,4
Kural,Rule,Concepts,2
Kurbağa,Frog,Animals,3
Kurban etmek,To sacrifice (an animal),Actions_Activities,4
Kurmak,To build (a building)/ to establish (an organization),Actions_Activities,2
Kurt,Wolf,Animals,1
Kurtarmak,To save/ to rescue,Actions_Activities,3
Kurtulmak,To be saved/ rescued,Actions_Activities,3
Kuru,Dry,Adjectives,2
Kuş,Bird,Animals,1
Kusura bakma,I'm sorry (informal apology),Language_Communication,5
Kusursuz,Flawless/ perfect,Adjectives,3
Kutlamak,To celebrate,Actions_Activities,3
Kutu,Box,Objects_Things,2
Kuzey,North,Places_Locations,2
Laf,Word/ empty words,Language_Communication,1
Lastik,Tire,Objects_Things,2
Lavabo,Bathroom/ bathroom sink,Objects_Things,3
Lâzım,Needed,Concepts,2
Lezzetli,Flavorful/ good tasting,Adjectives,3
Lider,Leader,People,2
Limon,Lemon,Food_Drink,3
Lira,Lira (Turkish unit of money),Finance,2
Lise,High school,Education,2
Lüks,Luxurious,Adjectives,1
Lütfen,Please,Language_Communication,3
Maç,Sports match,Events,1
Madde,Material,Concepts,2
Mağaza,Store,Places_Locations,3
Mahalle,Neighborhood (part of an ilçe),Places_Locations,3
Makine,Machine,Objects_Things,3
Mal,Goods/ property,Objects_Things,1
Malzeme,Ingredient/ material,Objects_Things,3
Mantık,Logic,Concepts,2
Manzara,Scenery,Places_Locations,3
Marka,Brand,Objects_Things,2
Mart,March,Time_Calendar,1
Masa,Table,Objects_Things,2
Mavi,Blue,Colors,2
Maya,Yeast,Objects_Things,2
Mayıs,May,Time_Calendar,2
Meclis,Parliament,Occupations,2
Medya,Media,Concepts,2
Mektup,Letter (mail),Language_Communication,2
Memleket,Homeland,Places_Locations,3
Merak etmek,To worry/ to be curious,Actions_Activities,4
Merdiven,Stairs/ ladder,Objects_Things,4
Merhaba,Hello,Language_Communication,3
Merkez,Center,Places_Locations,2
Mesafe,Distance,Concepts,3
Mesaj,Message (usually text message),Language_Communication,2
Mesela,For example,Adverbs,3
Mesele,Issue/ matter,Concepts,3
Meslek,Profession,Occupations,2
Metal,Metal,Objects_Things,2
Metre,Meter (or tape measure),Measurement,2
Metre kare,Square meters,Measurement,4
Meydan,City square/ commons,Places_Locations,3
Meyve,Fruit,Food_Drink,2
Mide,Stomach,Body_Parts,2
Miktar,Amount,Concepts,2
Millet,People/ nation,People,2
Milyar,Billion,Numbers,2
Milyon,Million,Numbers,3
Miras,Inheritance,Concepts,2
Misafir,Guest,People,3
Mısır,Corn/ Egypt,Food_Drink,2
Mor,Purple,Colors,1
Müdür,Manager,Occupations,2
Mum,Candle,Objects_Things,2
Mümkün,Possible,Adjectives,3
Müsait,Available,Adjectives,2
Müşteri,Customer,People,3
Mutfak,Kitchen,Places_Locations,2
Mutlaka,Absolutely,Adverbs,3
Mutlu,Happy,Adjectives,2
Mutsuz,Unhappy,Adjectives,2
Müzik,Music,Objects_Things,2
Nakit,Cash,Finance,2
Nasıl,How,Question_Words,2
Ne,What,Question_Words,1
Neden,Why,Question_Words,3
Nefes almak,To breathe,Actions_Activities,4
Nehir,River,Places_Locations,2
Nerede,Where,Question_Words,3
Neredeyse,Almost,Adverbs,4
Net,Clear/ plain,Adjectives,1
Neyse,Anyway,Adverbs,2
Nisan,April,Time_Calendar,3
Nişanlı,Engaged,Family_Relationships,3
Niye,Why (informal),Question_Words,2
Nöbetçi,Open during late hours (ER/ eczane/ etc),Occupations,3
Nokta,Point (or period),Objects_Things,2
Normal,Normal,Adjectives,2
Normalde,Normally,Adverbs,3
Numara,Number,Objects_Things,3
Öbür,The other (one),Adjectives,2
Ocak,January (or stove),Time_Calendar,2
Oda,Room,Places_Locations,2
Ödemek,To pay (money),Finance,3
Odun,Log,Objects_Things,3
Öğrenci,Student,Occupations,3
Öğretmek,To teach,Actions_Activities,3
Öğretmen,Teacher,Occupations,4
Oğul,Son,Family_Relationships,2
Okul,School,Places_Locations,2
Okumak,To read/ study,Actions_Activities,3
Okyanus,Ocean,Places_Locations,3
Olay,Event,Events,2
Oldukça,Really,Adverbs,3
Öldürmek,To kill,Actions_Activities,3
